song	step	measured	harness_commit	verb	exit	fact	value
crooked_waltz	1	2026-08-25	75346c5	plan	0	form	verse-chorus
crooked_waltz	1	2026-08-25	75346c5	plan	0	seed	4
crooked_waltz	1	2026-08-25	75346c5	plan	0	lines	32
crooked_waltz	1	2026-08-25	75346c5	plan	0	sections	6
crooked_waltz	1	2026-08-25	75346c5	plan	0	pattern	bridge-build-prechorus-chorus-chorus-verse
crooked_waltz	1	2026-08-25	75346c5	plan	0	meter	2/4 as (2,)
crooked_waltz	1	2026-08-25	75346c5	plan	0	subdivision	4
crooked_waltz	1	2026-08-25	75346c5	plan	0	groups	1.endword,3.headrime,4.headrime,6;5.T4,7.T3;1.headrime,2.T4,4.T4,6.T3,7.headrime;5.endword,6.T1,7.T2;1.T4,5.T1,6.T2,7;5.T2,7.T4;9.headrime,16.endword;10.endword,11.T1,12,13.endword,15.T4,18.endword;8.headrime,10.T2,11.endword,12.headrime,13.headrime,14.T2,15.T2,16.head,17.headrime,18.headrime;8.T4,10.T4,11.T3,15.T3,16.T3,17.T2,18.T3;16.T4,17.T3;8.T3,16.T2;8.endword,17.T4;19.endword,20.T1,21;20.T3,21.headrime;19.T4,20.endword;20.T4,21.T4;22.T4,23.T1;22.T2,23;22.T1,23.T3;26.T2,28.T1;27,29.head;30.T2,31,32.T3;26.head,27.headrime,28.T3,29.T4,30.head,31.T1;26.T4,27.T4,29,30.T3,31.T4,32.T2;26.endword,30.endword;3,4
crooked_waltz	1	2026-08-25	75346c5	plan	0	returns	22,24;23,25
crooked_waltz	2	2026-08-25	75346c5-WORKING	screen	0	pair:crew~avenue	CLEAN
crooked_waltz	2	2026-08-25	75346c5-WORKING	screen	0	pair:crew~through	CLEAN
crooked_waltz	2	2026-08-25	75346c5-WORKING	screen	0	pair:crew~coup	CLEAN
crooked_waltz	2	2026-08-25	75346c5-WORKING	screen	0	pair:crew~rendezvous	CLEAN
crooked_waltz	2	2026-08-25	75346c5-WORKING	screen	0	pair:crew~shoe	CLEAN
crooked_waltz	2	2026-08-25	75346c5-WORKING	screen	0	pair:crew~two	CLEAN
crooked_waltz	2	2026-08-25	75346c5-WORKING	screen	0	pair:crew~ado	CLEAN
crooked_waltz	2	2026-08-25	75346c5-WORKING	screen	0	pair:crew~guru	CLEAN
crooked_waltz	2	2026-08-25	75346c5-WORKING	screen	0	pair:crew~tattoo	CLEAN
crooked_waltz	2	2026-08-25	75346c5-WORKING	screen	0	pair:avenue~through	BANNED: MODAL_RHYME
crooked_waltz	2	2026-08-25	75346c5-WORKING	screen	0	pair:avenue~coup	CLEAN
crooked_waltz	2	2026-08-25	75346c5-WORKING	screen	0	pair:avenue~rendezvous	CLEAN
crooked_waltz	2	2026-08-25	75346c5-WORKING	screen	0	pair:avenue~shoe	CLEAN
crooked_waltz	2	2026-08-25	75346c5-WORKING	screen	0	pair:avenue~two	CLEAN
crooked_waltz	2	2026-08-25	75346c5-WORKING	screen	0	pair:avenue~ado	CLEAN
crooked_waltz	2	2026-08-25	75346c5-WORKING	screen	0	pair:avenue~guru	CLEAN
crooked_waltz	2	2026-08-25	75346c5-WORKING	screen	0	pair:avenue~tattoo	CLEAN
crooked_waltz	2	2026-08-25	75346c5-WORKING	screen	0	pair:through~coup	CLEAN
crooked_waltz	2	2026-08-25	75346c5-WORKING	screen	0	pair:through~rendezvous	CLEAN
crooked_waltz	2	2026-08-25	75346c5-WORKING	screen	0	pair:through~shoe	CLEAN
crooked_waltz	2	2026-08-25	75346c5-WORKING	screen	0	pair:through~two	BANNED: MODAL_RHYME
crooked_waltz	2	2026-08-25	75346c5-WORKING	screen	0	pair:through~ado	BANNED: MODAL_RHYME
crooked_waltz	2	2026-08-25	75346c5-WORKING	screen	0	pair:through~guru	CLEAN
crooked_waltz	2	2026-08-25	75346c5-WORKING	screen	0	pair:through~tattoo	CLEAN
crooked_waltz	2	2026-08-25	75346c5-WORKING	screen	0	pair:coup~rendezvous	CLEAN
crooked_waltz	2	2026-08-25	75346c5-WORKING	screen	0	pair:coup~shoe	CLEAN
